id,axis,apriori,apriori_source,measured_ortho,measured_persp_1.0m,measured_persp_0.5m,measured_ortho_asym,measured_3d_frame_dependence,worst_measured,worst_over_apriori,disagrees,direction
mouth_corner_asymmetry,yaw,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",0.0013594882432422129,0.07028956597249877,0.08953233730598428,0.001363571804995961,1.1102230246251566e-17,0.08953233730598428,8.953233730598429,True,a-priori too optimistic
canthal_tilt_asymmetry,yaw,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",0.06771264583297106,0.06822940741181652,0.06889074970603586,0.05240188169832662,2.6645352591003756e-16,0.06889074970603586,6.889074970603586,True,a-priori too optimistic
alar_base_intercanthal_ratio,yaw,0.0001519224698779198,cosine cancels between same-plane terms,1.2688263138573217e-17,4.23519689303313e-05,7.734833810161515e-05,0.0009762807856194972,1.2688263138573217e-17,0.0009762807856194972,6.426177683946333,True,a-priori too optimistic
lower_vermilion_height,pitch,0.001519224698779198,"cos(pitch), first order",0.004341204441673252,0.006603866135901258,0.009013387143644039,0.004341204441673252,1.0770745408287618e-17,0.009013387143644039,5.9328861299364855,True,a-priori too optimistic
nasal_dorsal_deviation,roll,0.01,dorsal depth projected into apparent lateral deviation; roll cancels against the interpupillary axis,0.0,0.02824457312933575,0.05708926426855143,0.0,0.0,0.05708926426855143,5.708926426855143,True,a-priori too optimistic
upper_vermilion_height,pitch,0.001519224698779198,"cos(pitch), first order",0.004341204441673163,0.00639533505554585,0.008589545984684399,0.004341204441673163,9.693670867458856e-17,0.008589545984684399,5.65390096118546,True,a-priori too optimistic
lower_third_height,pitch,0.001519224698779198,"cos(pitch), first order",0.003110116614930096,0.0056086299620386375,0.008190469861585562,0.003110116614930096,0.0,0.008190469861585562,5.39121689383221,True,a-priori too optimistic
palpebral_fissure_width_l,yaw,0.001519224698779198,"cos(yaw), first order",0.005941596381067294,0.0070231622004314626,0.008095766605667602,0.005118857634948785,2.3084207992079776e-17,0.008095766605667602,5.328880324400407,True,a-priori too optimistic
palpebral_fissure_width_r,yaw,0.001519224698779198,"cos(yaw), first order",0.0059213155355293924,0.007000830751667193,0.008071319617513619,0.0041605838576684205,1.7287145461216784e-17,0.008071319617513619,5.312788571696789,True,a-priori too optimistic
philtrum_length,pitch,0.001519224698779198,"cos(pitch), first order",0.006945927106677227,0.005441066401535567,0.0038967340091064034,0.006945927106677227,1.0995372800518286e-17,0.006945927106677227,4.572020921104534,True,a-priori too optimistic
gonial_angle_l,yaw,0.15,mandibular yaw study; roll slope measured in evals/,0.4472000192136548,0.5760292293732121,0.6390976164629493,0.3672774815015771,7.105427357601002e-16,0.6390976164629493,4.260650776419662,True,a-priori too optimistic
philtrum_width,yaw,0.001519224698779198,"cos(yaw), first order",0.001519224698779195,0.0016262815060443712,0.0017230902349750295,0.0050318683961838705,0.0,0.0050318683961838705,3.3121291407566797,True,a-priori too optimistic
ocular_height_asymmetry,pitch,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",0.0004940638701884992,0.00048698495998575065,0.00047999770045933644,0.032027206294803,0.0004940638701884992,0.032027206294803,3.2027206294802997,True,a-priori too optimistic
jaw_cheekbone_ratio,yaw,0.0001519224698779198,cosine cancels between same-plane terms,0.0,3.438631818195911e-05,8.035004076378432e-05,0.0004619555346654813,1.3379610809585219e-17,0.0004619555346654813,3.0407321249891113,True,a-priori too optimistic
gonial_angle_r,yaw,0.15,mandibular yaw study; roll slope measured in evals/,0.4472000192136548,0.22208597399945945,0.11937708786801124,0.3759968558500816,7.105427357601002e-16,0.4472000192136548,2.9813334614243656,True,a-priori too optimistic
intercanthal_biocular_ratio,yaw,0.0001519224698779198,cosine cancels between same-plane terms,5.0083848349861736e-08,5.083974670871989e-05,0.0001112039534844489,0.0004129778358373774,0.0,0.0004129778358373774,2.7183459837720756,True,a-priori too optimistic
