id,unit,view,lossless_mean,lossless_sd,lossless_noise,q95_mean,q95_sd,q95_noise,q85_mean,q85_sd,q85_noise,q75_mean,q75_sd,q75_noise,jpeg_only_mean,jpeg_only_sd,jpeg_only_noise
canthal_tilt_l,deg,frontal,5.001809847593238,0.017025387846513917,0.017025387846513917,5.0009059918813685,0.018155196002501067,0.018155196002501067,4.999666850252497,0.019079286437221368,0.019079286437221368,4.991067623746515,0.0229074784540958,0.0229074784540958,4.994872949739073,0.017756948633303803,0.017756948633303803
eye_aspect_ratio_l,ratio,frontal,0.3641687878426045,0.00030735761411250013,0.000843997685615335,0.3641108978857308,0.000328454619567408,0.0009020730263077354,0.36405530484565346,0.0003242479192791258,0.0008906556640249904,0.36405257780694206,0.0004245222047972574,0.0011661013564430317,0.36400587544183804,0.00030011302566733823,0.0008244730261649064
palpebral_fissure_width_r,mm,frontal,29.15994298407055,0.007215432917048383,0.0002474433136234189,29.159823195210652,0.00836617341964953,0.0002869075495980246,29.160726690686044,0.008435505909862744,0.00028927625841906917,29.16208566810911,0.009473702783476028,0.0003248636908654383,29.160508771927343,0.00855350088180684,0.00029332481640516664
palpebral_fissure_height_r,mm,frontal,10.999435421637617,0.0071962112095198694,0.0006542345978379756,11.00082419204515,0.008398733219237597,0.0007634639980257878,11.000438077856536,0.008854539414431262,0.0008049260721948077,11.001418537508668,0.009910521706568028,0.0009008403482495196,10.999766196596916,0.008797097798623126,0.0007997531621485513
canthal_tilt_r,deg,frontal,6.000733432966992,0.017510875952849583,0.017510875952849583,5.997028067470045,0.01754872490496715,0.01754872490496715,5.987921573392628,0.020396985780084604,0.020396985780084604,5.989620832625353,0.022149778861693198,0.022149778861693198,5.985546676445863,0.018211869549212285,0.018211869549212285
eye_aspect_ratio_r,ratio,frontal,0.377210478682516,0.0002618501346825735,0.0006941751342569754,0.3772596626256852,0.00030633491735925167,0.000812000189013569,0.37723474236613114,0.0003316579302088498,0.0008791818275501092,0.37725079260865924,0.00036978018044000403,0.0009801972260495557,0.3772145262849702,0.00033574769872696237,0.0008900709684581941
intercanthal_biocular_ratio,ratio,frontal,0.3555469742233504,7.61206979548133e-05,0.00021409463017113225,0.35554801094894695,0.0001066889718133929,0.0003000691004532503,0.3555440208699555,9.96930857336419e-05,0.0002803959000342909,0.3555294767882519,0.00012380685003192418,0.0003482323073472237,0.3555504023528544,0.00010301518226813646,0.00028973439936063526
nose_mouth_width_ratio,ratio,frontal,0.653757462039793,0.00016551848364740795,0.0002531802591300031,0.6537769558296503,0.00019578619072114622,0.000299469396979114,0.6537407314847357,0.00019519898290027373,0.0002985877634654182,0.6537101957385228,0.00020833912693633228,0.00031870258150243954,0.6537315480907422,0.00018764925175672665,0.00028704328604725637
eye_spacing_ratio,ratio,frontal,0.9411701364182394,0.00029824566298275457,0.000316888149594049,0.9411558903182466,0.0003645847141850843,0.0003873797294747866,0.941221938860052,0.0003090470785101891,0.0003283466584772633,0.9412114897426475,0.00036227700799994027,0.00038490499951184887,0.9412264488889329,0.0003246396304289033,0.00034491129187043444
facial_thirds_ratio,ratio,frontal,1.0565227155939727,0.0009033031218577621,0.0008549774732954311,1.056520411594379,0.0008336975422346551,0.0007890974306653809,1.0565834450960583,0.0008794542707755079,0.0008323566632217612,1.0567852279127936,0.0008953002578303455,0.0008471922526761759,1.056766890290533,0.0002211509256867784,0.00020927124772614537
lip_vermilion_ratio,ratio,frontal,0.49996967900774825,0.0012177489445230015,0.0024356455914282143,0.5000263788123389,0.0013029638150554262,0.0026057901548118757,0.499957785063783,0.0016780917904670694,0.0033564669670119924,0.4999772467922827,0.001739192025676676,0.003478542347346517,0.49991296146610664,0.0015846135228147484,0.0031697788314340052
facial_width_height_ratio,ratio,frontal,1.63952686425881,0.00016079098751069782,9.807157846320957e-05,1.639513564678512,0.000178221026590394,0.00010870359991522297,1.6395243900746772,0.00019759709218714232,0.00012052098363607884,1.6395001573333798,0.0002102074166799333,0.00012821433150810564,1.6395091022849255,0.00019586578930100987,0.00011946611886938516
jaw_cheekbone_ratio,ratio,frontal,0.8297859069556819,6.857554993776236e-05,8.264246158307546e-05,0.8297906889965989,7.527600551834738e-05,9.07168597051538e-05,0.8297771742175464,8.448616757117122e-05,0.00010181789786015625,0.8297989948534976,8.380298622252205e-05,0.00010099191098359621,0.8297788372080953,8.145632953606528e-05,9.816631358078048e-05
ocular_height_asymmetry,deg,frontal,0.32528422713316496,0.008223349098683316,0.008223349098683316,0.3242815589427325,0.009290635778247893,0.009290635778247893,0.3212908726648098,0.009074902904409153,0.009074902904409153,0.3245499163345859,0.011694805256327316,0.011694805256327316,0.3226970316509967,0.009531351680297893,0.009531351680297893
mouth_corner_asymmetry,deg,frontal,0.8820686302981682,0.011195894252765856,0.011195894252765856,0.8820291915286961,0.011921493567481851,0.011921493567481851,0.8836171346985848,0.011987792219732873,0.011987792219732873,0.8921738687621515,0.013720374910512497,0.013720374910512497,0.885825527083164,0.01268910961222817,0.01268910961222817
canthal_tilt_asymmetry,deg,frontal,0.9989235853737537,0.023942384581532323,0.023942384581532323,0.9961220755886768,0.027818890935998777,0.027818890935998777,0.9882547231401293,0.029138805579833654,0.029138805579833654,0.9985532088788382,0.03506880613908532,0.03506880613908532,0.9906737267067891,0.028420170372435705,0.028420170372435705
nasofrontal_angle,deg,profile,121.53424462138298,0.028983856161357017,0.028983856161357017,121.53673975282467,0.03418209244047544,0.03418209244047544,121.5320568177487,0.03730128040315548,0.03730128040315548,121.53892003489995,0.043842412913866605,0.043842412913866605,121.54076086823184,0.03963172735423777,0.03963172735423777
nasolabial_angle,deg,profile,101.18457160038017,0.16113704250691663,0.16113704250691663,101.19190973738303,0.1654549568439682,0.1654549568439682,101.20048667910032,0.16149520130420678,0.16149520130420678,101.17117817226922,0.1678723602787063,0.1678723602787063,101.18667035754565,0.05213165913368467,0.05213165913368467
facial_convexity_angle,deg,profile,173.191394943689,0.013963050405004946,0.013963050405004946,173.1911953977697,0.012854917084921064,0.012854917084921064,173.19307398737436,0.014457651501211985,0.014457651501211985,173.19267153496395,0.019435899854544796,0.019435899854544796,173.18940222373968,0.017543796846811743,0.017543796846811743
mentolabial_angle,deg,profile,113.3801832911856,0.06036112311687415,0.06036112311687415,113.38016395426324,0.06436780942815762,0.06436780942815762,113.38641638993528,0.06573016225517636,0.06573016225517636,113.38609743730554,0.07993869596975701,0.07993869596975701,113.3983974261961,0.07131819689284295,0.07131819689284295
mentocervical_angle,deg,profile,87.36654739426712,0.007235983688533035,0.007235983688533035,87.36771591833171,0.00739374893789536,0.00739374893789536,87.36588544912429,0.008081907975690035,0.008081907975690035,87.36722555426287,0.00943092864279747,0.00943092864279747,87.36642045012599,0.008639963917150929,0.008639963917150929
submental_cervical_angle,deg,profile,110.8155751080102,0.019585254448753128,0.019585254448753128,110.8152335763385,0.02201279174627903,0.02201279174627903,110.8177900499313,0.023458634269170175,0.023458634269170175,110.81374960445082,0.029486457928694757,0.029486457928694757,110.81362416983885,0.023720795774198007,0.023720795774198007
gonial_angle_l,deg,profile,138.2533408324907,0.008849668715635212,0.008849668715635212,138.25423164985162,0.010328580589256155,0.010328580589256155,138.24895206923722,0.010938124015194221,0.010938124015194221,138.25294469492866,0.01382829876380718,0.01382829876380718,138.2539516461278,0.009960330823459054,0.009960330823459054
gonial_angle_r,deg,profile,138.2533408324907,0.008849668715635212,0.008849668715635212,138.25423164985162,0.010328580589256155,0.010328580589256155,138.24895206923722,0.010938124015194221,0.010938124015194221,138.25294469492866,0.01382829876380718,0.01382829876380718,138.2539516461278,0.009960330823459054,0.009960330823459054
e_line_upper_lip,mm,profile,-2.9485804711071015,0.07707019659236405,0.026138067910158328,-2.9517718251060505,0.07359806764535072,0.024933521967846043,-2.956683914342953,0.07607392852084352,0.025729476239176888,-2.9453149705239614,0.0757350119420482,0.025713722539010893,-2.948926172221843,0.0068966368372047155,0.002338694302410597
e_line_lower_lip,mm,profile,-0.623889360001913,0.00582885898662418,0.009342776717022883,-0.6247622356468363,0.006651914098163953,0.010647112963345189,-0.6246124670876494,0.007127918604908096,0.011411745651096433,-0.6220339703706831,0.007903347371766777,0.012705652340911552,-0.6232384465128706,0.007596643623512876,0.012188984274024558
