id,distance_m,value,deviation
e_line_upper_lip,1.5,-2.6721019108280224,-0.0
e_line_upper_lip,2.0,-2.6721019108280224,-0.0
e_line_upper_lip,3.0,-2.6721019108280224,-0.0
e_line_lower_lip,0.3,-0.6244585987261111,-0.0
e_line_lower_lip,0.4,-0.6244585987261111,-0.0
e_line_lower_lip,0.5,-0.6244585987261111,-0.0
e_line_lower_lip,0.7,-0.6244585987261111,-0.0
e_line_lower_lip,1.0,-0.6244585987261111,-0.0
e_line_lower_lip,1.5,-0.6244585987261111,-0.0
e_line_lower_lip,2.0,-0.6244585987261111,-0.0
e_line_lower_lip,3.0,-0.6244585987261111,-0.0
nasal_tip_projection_ratio,0.3,0.576514904257641,0.03932702418506847
nasal_tip_projection_ratio,0.4,0.5712835594057436,0.029896083133493224
nasal_tip_projection_ratio,0.5,0.5680759456377524,0.024113475177305017
nasal_tip_projection_ratio,0.7,0.5643449137235199,0.017387261738726064
nasal_tip_projection_ratio,1.0,0.5614998643139947,0.012258275975090174
nasal_tip_projection_ratio,1.5,0.5592587080553376,0.008217974071632637
nasal_tip_projection_ratio,2.0,0.5581286852913048,0.006180796562551653
nasal_tip_projection_ratio,3.0,0.5569922951467653,0.004132140095017141
submental_length,0.3,70.02856560004639,0.0
submental_length,0.4,70.02856560004639,0.0
submental_length,0.5,70.02856560004639,0.0
submental_length,0.7,70.02856560004639,0.0
submental_length,1.0,70.02856560004639,0.0
submental_length,1.5,70.02856560004639,0.0
submental_length,2.0,70.02856560004639,0.0
submental_length,3.0,70.02856560004639,0.0
chin_projection,0.3,-4.0,-0.0
chin_projection,0.4,-4.0,-0.0
chin_projection,0.5,-4.0,-0.0
chin_projection,0.7,-4.0,-0.0
chin_projection,1.0,-4.0,-0.0
chin_projection,1.5,-4.0,-0.0
chin_projection,2.0,-4.0,-0.0
chin_projection,3.0,-4.0,-0.0
brow_apex_lateral_offset_l,0.3,-0.6518140568023606,-0.05125937311866703
brow_apex_lateral_offset_l,0.4,-0.6609689538228176,-0.037934065620955235
brow_apex_lateral_offset_l,0.5,-0.666347032091931,-0.030106064222079836
brow_apex_lateral_offset_l,0.7,-0.6723902618100787,-0.021309909104913104
brow_apex_lateral_offset_l,1.0,-0.6768517403093066,-0.014816054202580796
brow_apex_lateral_offset_l,1.5,-0.6802803885800711,-0.009825523734860252
brow_apex_lateral_offset_l,2.0,-0.6819812777335829,-0.007349813637912024
brow_apex_lateral_offset_l,3.0,-0.6836732794688168,-0.0048870395227828475
margin_reflex_distance_1_l,0.3,5.299999999999997,0.0
margin_reflex_distance_1_l,0.4,5.299999999999997,0.0
margin_reflex_distance_1_l,0.5,5.299999999999997,0.0
margin_reflex_distance_1_l,0.7,5.299999999999997,0.0
margin_reflex_distance_1_l,1.0,5.299999999999997,0.0
margin_reflex_distance_1_l,1.5,5.299999999999997,0.0
margin_reflex_distance_1_l,2.0,5.299999999999997,0.0
margin_reflex_distance_1_l,3.0,5.299999999999997,0.0
margin_reflex_distance_2_l,0.3,5.300000000000001,0.0
margin_reflex_distance_2_l,0.4,5.300000000000001,0.0
margin_reflex_distance_2_l,0.5,5.300000000000001,0.0
margin_reflex_distance_2_l,0.7,5.300000000000001,0.0
margin_reflex_distance_2_l,1.0,5.300000000000001,0.0
margin_reflex_distance_2_l,1.5,5.300000000000001,0.0
margin_reflex_distance_2_l,2.0,5.300000000000001,0.0
margin_reflex_distance_2_l,3.0,5.300000000000001,0.0
medial_canthal_angle_l,0.3,37.08717511654882,0.23733927213595507
medial_canthal_angle_l,0.4,37.02726477942095,0.17742893500808776
medial_canthal_angle_l,0.5,36.991504157464306,0.14166831305144
medial_canthal_angle_l,0.7,36.950804062505256,0.10096821809239032
medial_canthal_angle_l,1.0,36.92039674289425,0.07056089848138214
medial_canthal_angle_l,1.5,36.89681602871644,0.04698018430357109
medial_canthal_angle_l,2.0,36.88504837038601,0.03521252597314373
medial_canthal_angle_l,3.0,36.873295806066565,0.02345996165369968
brow_apex_lateral_offset_r,0.3,-0.6506515568867633,-0.05135848503722748
brow_apex_lateral_offset_r,0.4,-0.6598078466031497,-0.03800873361335975
brow_apex_lateral_offset_r,0.5,-0.6651870358436769,-0.030165945601260635
brow_apex_lateral_offset_r,0.7,-0.6712317759486698,-0.02135279307735964
brow_apex_lateral_offset_r,1.0,-0.6756945492843454,-0.014846127546045872
brow_apex_lateral_offset_r,1.5,-0.6791242973857973,-0.009845599382446507
brow_apex_lateral_offset_r,2.0,-0.6808257661502962,-0.007364880033769028
brow_apex_lateral_offset_r,3.0,-0.6825183669491339,-0.004897090063789682
margin_reflex_distance_1_r,0.3,5.5,0.0
margin_reflex_distance_1_r,0.4,5.5,0.0
margin_reflex_distance_1_r,0.5,5.5,0.0
margin_reflex_distance_1_r,0.7,5.5,0.0
margin_reflex_distance_1_r,1.0,5.5,0.0
margin_reflex_distance_1_r,1.5,5.5,0.0
margin_reflex_distance_1_r,2.0,5.5,0.0
margin_reflex_distance_1_r,3.0,5.5,0.0
margin_reflex_distance_2_r,0.3,5.5,0.0
margin_reflex_distance_2_r,0.4,5.5,0.0
margin_reflex_distance_2_r,0.5,5.5,0.0
margin_reflex_distance_2_r,0.7,5.5,0.0
margin_reflex_distance_2_r,1.0,5.5,0.0
margin_reflex_distance_2_r,1.5,5.5,0.0
margin_reflex_distance_2_r,2.0,5.5,0.0
margin_reflex_distance_2_r,3.0,5.5,0.0
medial_canthal_angle_r,0.3,38.3899858871263,0.2444723215336282
medial_canthal_angle_r,0.4,38.3282771341352,0.1827635685425264
medial_canthal_angle_r,0.5,38.29144234290598,0.14592877731330844
medial_canthal_angle_r,0.7,38.24951908044521,0.10400551485253828
medial_canthal_angle_r,1.0,38.218197488410226,0.07268392281755354
medial_canthal_angle_r,1.5,38.19390750455282,0.04839393896014599
medial_canthal_angle_r,2.0,38.18178581042684,0.03627224483416569
medial_canthal_angle_r,3.0,38.169679608823685,0.02416604323101268
upper_vermilion_height,0.3,4.09289980092899,0.023224950232247465
upper_vermilion_height,0.4,4.072727272727263,0.018181818181815856
upper_vermilion_height,0.5,4.059515878303344,0.01487896957583601
upper_vermilion_height,0.7,4.043521266073185,0.01088031651829624
upper_vermilion_height,1.0,4.030958774285267,0.007739693571316764
upper_vermilion_height,1.5,4.020881723892103,0.005220430973025714
upper_vermilion_height,2.0,4.015749041334814,0.003937260333703563
upper_vermilion_height,3.0,4.010556475448283,0.0026391188620706885
lower_vermilion_height,0.3,8.097144732523816,0.012143091565476993
lower_vermilion_height,0.4,8.08063660477454,0.010079575596817492
lower_vermilion_height,0.5,8.06796866379787,0.00849608297473381
lower_vermilion_height,0.7,8.051206302314142,0.006400787789267781
lower_vermilion_height,1.0,8.03716242815527,0.004645303519408728
lower_vermilion_height,1.5,8.025429466509081,0.0031786833136351333
lower_vermilion_height,2.0,8.019310680419764,0.0024138350524705032
lower_vermilion_height,3.0,8.01302986764071,0.0016287334550888488
cupids_bow_peak_height_l,0.3,2.1699460488733706,0.44663069924891374
cupids_bow_peak_height_l,0.4,1.9825918762089003,0.3217279174726002
cupids_bow_peak_height_l,0.5,1.8770166294365822,0.25134441962438814
cupids_bow_peak_height_l,0.7,1.7621986550313409,0.17479910335422724
cupids_bow_peak_height_l,1.0,1.6799491702292357,0.11996611348615716
cupids_bow_peak_height_l,1.5,1.618156446150607,0.0787709641004047
cupids_bow_peak_height_l,2.0,1.5879510560361751,0.0586340373574501
cupids_bow_peak_height_l,3.0,1.5581952187777972,0.038796812518531475
cupids_bow_peak_height_r,0.3,2.1699460488733706,0.44663069924891374
cupids_bow_peak_height_r,0.4,1.9825918762089003,0.3217279174726002
cupids_bow_peak_height_r,0.5,1.8770166294365822,0.25134441962438814
cupids_bow_peak_height_r,0.7,1.7621986550313409,0.17479910335422724
cupids_bow_peak_height_r,1.0,1.6799491702292357,0.11996611348615716
cupids_bow_peak_height_r,1.5,1.618156446150607,0.0787709641004047
cupids_bow_peak_height_r,2.0,1.5879510560361751,0.0586340373574501
cupids_bow_peak_height_r,3.0,1.5581952187777972,0.038796812518531475
commissure_height_l,0.3,0.029926528538596887,-2.9454545454545555
