id,axis,pipeline_noise,slope_ortho,slope_persp1m,crossover_deg_ortho,crossover_deg_persp1m
margin_reflex_distance_1_r,roll,0.0015543521751720788,0.0015192246987791869,0.0015192246987791869,1.0231219755847305,1.0231219755847305
margin_reflex_distance_2_r,yaw,0.001537792319801258,0.0,0.000550121543609361,,2.7953682920900804
margin_reflex_distance_2_r,pitch,0.001537792319801258,0.001519224698779195,0.0015213498701664107,1.0122217740647472,1.0108078029631993
margin_reflex_distance_2_r,roll,0.001537792319801258,0.0015192246987792031,0.0015192246987792031,1.012221774064742,1.012221774064742
medial_canthal_angle_r,yaw,0.03429680966640279,0.07844978692997735,0.08898005175153365,0.4371816802640319,0.385443804440265
medial_canthal_angle_r,pitch,0.03429680966640279,0.053948302501520475,0.054554986952435415,0.635734732625483,0.6286649778929464
medial_canthal_angle_r,roll,0.03429680966640279,7.105427357601002e-16,0.0026973732011907003,48268468510502.63,12.714892270473795
upper_vermilion_height,yaw,0.0025016903355843463,9.418592507961509e-05,9.04551206625466e-05,26.56119089417739,27.656702210560244
upper_vermilion_height,pitch,0.0025016903355843463,0.004341204441673163,0.00639533505554585,0.5762664185011657,0.3911742408890606
upper_vermilion_height,roll,0.0025016903355843463,8.881784197001253e-17,1.4063355850837692e-05,28166529157835.082,177.887153117535
lower_vermilion_height,yaw,0.0012232914170527901,9.418592507961509e-05,9.525069391531114e-05,12.988049074410485,12.842860946928505
lower_vermilion_height,pitch,0.0012232914170527901,0.004341204441673252,0.006603866135901258,0.2817861801922627,0.18523867563009624
lower_vermilion_height,roll,0.0012232914170527901,8.881784197001253e-17,1.4063355850660927e-05,13773036925011.178,86.98431797096991
cupids_bow_peak_height_l,yaw,0.005506102206142726,0.0,0.0037330161479370502,,1.474974119569647
cupids_bow_peak_height_l,pitch,0.005506102206142726,0.023153090355590676,0.02004883941767647,0.23781284146430118,0.2746344609498023
cupids_bow_peak_height_l,roll,0.005506102206142726,0.0015192246987792164,0.0015850211035515823,3.624284288273613,3.47383526554007
cupids_bow_peak_height_r,yaw,0.00612090796913714,0.0,0.0037330161479362045,,1.6396682271307828
cupids_bow_peak_height_r,pitch,0.00612090796913714,0.023153090355590676,0.02004883941767647,0.2643667810702925,0.3052998650755074
cupids_bow_peak_height_r,roll,0.00612090796913714,0.0015192246987789798,0.0015850211035520051,4.028968179662029,3.8617201723183943
commissure_height_l,yaw,0.012199629854817534,0.0015422876596835504,0.23700691307370256,7.910087186537353,0.05147373001319919
commissure_height_l,pitch,0.012199629854817534,0.19535489683239865,1.1887351880137467,0.062448549038850026,0.01026269767886812
commissure_height_l,roll,0.012199629854817534,0.0015192246987805183,0.0020629409292522737,8.030168193427988,5.91370779542358
commissure_height_r,yaw,4.419958216109165,nan,0.04770253795196525,,92.65666788127508
commissure_height_r,pitch,4.419958216109165,nan,0.24062495236415163,,18.368661157884354
commissure_height_r,roll,4.419958216109165,nan,0.0022489251044922947,,1965.3647901747224
upper_lip_projection,yaw,0.010195774176825366,0.0014948780358906145,0.001487497522862023,6.820472260635601,6.854313382121245
upper_lip_projection,pitch,0.010195774176825366,0.0015786197969720824,0.0015786197969720824,6.458663572053047,6.458663572053047
upper_lip_projection,roll,0.010195774176825366,2.547810055533599e-05,0.0006834394223744813,400.17795497278627,14.918329032589417
