condition,id,axis,angle_deg,value,deviation
3d,philtrum_width,roll,-27.5,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,roll,-25.0,11.000000000000004,3.2297397080004555e-16
3d,philtrum_width,roll,-22.5,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,roll,-20.0,11.000000000000002,1.6148698540002277e-16
3d,philtrum_width,roll,-17.5,11.000000000000002,1.6148698540002277e-16
3d,philtrum_width,roll,-15.0,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,roll,-12.5,11.0,0.0
3d,philtrum_width,roll,-10.0,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,roll,-7.5,11.000000000000002,1.6148698540002277e-16
3d,philtrum_width,roll,-5.0,11.000000000000002,1.6148698540002277e-16
3d,philtrum_width,roll,-2.5,11.000000000000002,1.6148698540002277e-16
3d,philtrum_width,roll,0.0,11.0,0.0
3d,philtrum_width,roll,2.5,11.000000000000002,1.6148698540002277e-16
3d,philtrum_width,roll,5.0,11.000000000000002,1.6148698540002277e-16
3d,philtrum_width,roll,7.5,11.000000000000002,1.6148698540002277e-16
3d,philtrum_width,roll,10.0,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,roll,12.5,11.0,0.0
3d,philtrum_width,roll,15.0,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,roll,17.5,11.000000000000002,1.6148698540002277e-16
3d,philtrum_width,roll,20.0,11.000000000000002,1.6148698540002277e-16
3d,philtrum_width,roll,22.5,10.999999999999998,-1.6148698540002277e-16
3d,philtrum_width,roll,25.0,11.000000000000004,3.2297397080004555e-16
3d,philtrum_width,roll,27.5,10.999999999999998,-1.6148698540002277e-16
